id	compound	dbid	dblink	peaks
DBREF0064	Pyruvic acid	HMDB00243	http://www.hmdb.ca/spectra/nmr_one_d/1266	2.3809
DBREF0065	Raffinose	HMDB03213	http://www.hmdb.ca/spectra/nmr_one_d/1935	5.4379,5.4302,5.0054,4.9979,4.2413,4.2237,4.0859,4.0686,4.0611,4.0513,4.0441,4.0154,4.0093,3.9632,3.9176,3.9106,3.9044,3.8965,3.8899,3.8502,3.8425,3.8376,3.831,3.8219,3.8011,3.7866,3.7768,3.7676,3.7592,3.7484,3.7025,3.6794,3.5932,3.5855,3.5734
DBREF0066	Rhamnose	HMDB00849	http://www.hmdb.ca/spectra/nmr_one_d/1567	5.1179,5.1147,4.8753,4.8734,3.9418,3.9402,3.9356,3.9327,3.9291,3.9255,3.9008,3.8883,3.8814,3.8757,3.869,3.8634,3.8565,3.844,3.8149,3.8081,3.7954,3.7886,3.6199,3.6132,3.6012,3.5946,3.4577,3.4383,3.4241,3.4188,3.4124,3.4052,3.3935,3.3809,3.3623,3.3434,1.3033,1.2914,1.2859,1.2733
DBREF0067	Salicylate	HMDB01895	http://www.hmdb.ca/spectra/nmr_one_d/1788	7.8387,7.8358,7.8232,7.8201,7.4854,7.4823,7.468,7.4545,7.4512,6.9962,6.9812,6.9657,6.9485
DBREF0068	Serine	HMDB00187	http://www.hmdb.ca/spectra/nmr_one_d/1157	4.0045,3.9969,3.98,3.9724,3.9638,3.9525,3.9393,3.928,3.8532,3.8454,3.8421,3.8343
DBREF0069	Sinapic acid	HMDB32616	http://www.hmdb.ca/spectra/nmr_one_d/3968	9.0945,7.3032,7.2713,6.8834,6.391,6.3592,3.8749
DBREF0070	Sorbitol	HMDB00247	http://www.hmdb.ca/spectra/nmr_one_d/1273	3.8505,3.8274,3.8215,3.7988,3.793,3.7862,3.7819,3.7766,3.7697,3.7639,3.759,3.7528,3.7353,3.7304,3.6753,3.6627,3.6516,3.6455,3.6392,3.6328,3.6219,3.6152,3.6089
DBREF0071	Spermidine	HMDB01257	http://www.hmdb.ca/spectra/nmr_one_d/1671	3.8505,3.8274,3.8215,3.7988,3.793,3.7862,3.7819,3.7766,3.7697,3.7639,3.759,3.7528,3.7353,3.7304,3.6753,3.6627,3.6516,3.6455,3.6392,3.6328,3.6219,3.6152,3.6089
DBREF0072	Spermine	HMDB01256	http://www.hmdb.ca/spectra/nmr_one_d/1670	3.1901,3.1744,3.1584,3.1404,3.1252,3.1094,2.1543,2.1384,2.1282,2.1228,2.1071,2.0915,1.8154
DBREF0073	Thiamine	HMDB00235	http://www.hmdb.ca/spectra/nmr_one_d/1255	8.046,5.5018,3.902,3.8905,3.8791,3.2058,3.1943,3.1829,2.5652,2.5477
DBREF0074	Trehalose	HMDB00975	http://www.hmdb.ca/spectra/nmr_one_d/1627	5.2045,5.197,3.8809,3.8764,3.8625,3.8521,3.8438,3.8341,3.8308,3.8246,3.8137,3.7866,3.7765,3.7628,3.7527,3.668,3.6604,3.6481,3.6405,3.4737,3.4547,3.4358
DBREF0075	Tyramine	HMDB00306	http://www.hmdb.ca/spectra/nmr_one_d/1325	7.2444,7.2386,7.2346,7.2256,7.2214,7.2157,6.931,6.9251,6.921,6.9121,6.908,6.902,3.2552,3.2404,3.226,2.9514,2.9365,2.9222
DBREF0076	Uracil	HMDB00300	http://www.hmdb.ca/spectra/nmr_one_d/1321	7.5338,7.5146,5.7993,5.7801
DBREF0077	Uridine	HMDB00296	http://www.hmdb.ca/spectra/nmr_one_d/1319	7.8975,7.8813,5.9305,5.9214,5.9136,5.8974,4.3698,4.3599,4.3501,4.2456,4.2348,4.224,4.1519,4.1457,4.143,4.1367,4.1327,4.1265,3.9306,3.9248,3.9051,3.8993,3.828,3.8191,3.8024,3.7935
DBREF0078	xylose	HMDB00098	http://www.hmdb.ca/spectra/nmr_one_d/1083	5.2053,5.1979,4.5913,4.5755,3.9493,3.9384,3.9262,3.9153,3.7018,3.6863,3.6636,3.6533,3.6453,3.6428,3.6345,3.6239,3.6208,3.6189,3.6138,3.6026,3.5418,3.5344,3.5231,3.5158,3.4549,3.4363,3.4178,3.349,3.3266,3.3046,3.2474,3.2315,3.2288,3.2128
DBREF0079	xylulose	HMDB01644	http://www.hmdb.ca/spectra/nmr_one_d/1740	4.6671,4.6185,4.5473,4.4987,4.4471,4.3918,4.3775,4.3629,4.3488,4.2658,4.2414,4.2177,4.2016,4.1846,4.1779,4.1615,4.0774,4.072,4.0449,4.0309,3.903,3.8929,3.8794,3.8694,3.7127,3.6827,3.6526,3.6382,3.6267,3.6149,3.5958,3.5715,3.5414
DBREF0080	Chlorogenic acid	HMDB03164	http://www.hmdb.ca/spectra/nmr_one_d/1934	7.666,7.6341,7.1966,7.1935,7.13,7.13,7.1166,7.1135,6.9604,6.944,6.4064,6.3745,5.3595,5.35,5.3376,5.3294,5.3171,5.3076,4.2657,4.2597,4.2533,4.2473,3.8959,3.8894,3.8761,3.8696,2.2228,2.2173,2.2144,2.2084,2.1963,2.1905,2.1877,2.182,2.1639,2.1576,2.1336,2.1275,2.0533,2.0295,2.0041
DBREF0081	UDPG	HMDB00286	http://www.hmdb.ca/spectra/nmr_one_d/1312	7.974,7.9578,5.9988,5.9906,5.9742,5.6191,5.6126,5.6051,5.5984,4.3861,4.379,4.2996,4.2806,4.272,4.2485,4.2266,4.2216,4.2167,4.2111,4.1985,4.1931,4.1877,3.9112,3.9074,3.8949,3.8913,3.8865,3.8809,3.8549,3.8521,3.8065,3.798,3.7794,3.7603,3.614,3.5639,3.5579,3.5521,3.545,3.5383,3.5325,3.4945,3.4748,3.4559,3.3581
DBREF0082	D-Galactose	HMDB00143	http://www.hmdb.ca/spectra/nmr_one_d/1108	5.257,5.2495,4.5822,4.5664,4.0927,4.0802,4.0676,3.9761,3.97,3.9201,3.9133,3.858,3.8515,3.8373,3.8308,3.8056,3.798,3.7848,3.7817,3.7775,3.7657,3.7588,3.7433,3.7371,3.7259,3.7162,3.7108,3.703,3.6958,3.6871,3.6523,3.6453,3.6323,3.6254,3.4987,3.4829,3.479,3.463
